org_pac_id,org_name,n_mddo,state,is_kaiser,ratio_fnb,ratio_non
3173660776,WESTCHESTER MEDICAL CENTER ADVANCED PHYSICIAN SERVICES PC,343,NY,false,1.1176,1.0931
3173710936,KETTERING INDEPENDENT MEDICAL GROUP INC,304,OH,false,0.9866,1.0071
3173866241,HARTFORD HEALTHCARE MEDICAL GROUP SPECIALISTS PLLC,668,CT,false,1.1293,1.1662
3274430665,"PHYSICIANS FOR WOMEN'S HEALTH, LLC",197,CT,false,1.0981,0.9817
3274437736,ABINGTON MEMORIAL HOSPITAL,191,PA,false,1.1556,1.0283
3274445796,DEPARTMENT OF MEDICINE MEDICAL SERV GRP AT SUNY HLTH SCI CTR SYR IN,168,NY,false,0.6903,0.9972
3274580972,ADVENTIST HEALTH PHYSICIANS NETWORK,284,CA,false,1.1715,1.1983
3274782487,BANNER HOSPITAL BASED PHYSICIANS ARIZONA LLC,340,AZ,false,0.9662,0.4439
3274793633,CEPAMERICA ILLINOIS LLP,282,IL,false,0.8975,1.0887
3274795109,UNIVERSITY OF MIAMI,941,FL,false,0.9946,1.1159
3274801139,PRIVIA CARE CENTER LLC,115,MD,false,1.3526,1.5606
3274872064,HOAG CLINIC,248,CA,false,1.2124,1.237
3274908819,PORTLAND ADVENTIST MEDICAL CENTER,113,OR,false,0.9416,1.051
3274998067,"HOSPITAL MEDICINE SERVICES OF TX, PLLC",203,TX,false,1.0699,0.6639
3375441637,CHARLESTON AREA MEDICAL CENTER INC,384,WV,false,1.0048,1.0358
3375449655,CAROLINAS PHYSICIANS NETWORK INC,1023,NC,false,0.9893,0.8433
3375456619,REGENTS OF THE UNIV OF CA,668,CA,false,0.9604,1.1588
3375456734,UTMB FACULTY GROUP PRACTICE,437,TX,false,1.0456,1.0134
3375515661,PRATT MEDICAL GROUP INC,159,MA,false,1.0334,1.042
3375531379,"TEXAS DIGESTIVE DISEASE CONSULTANTS, PLLC",336,TX,false,1.0315,1.1826
3375610116,DEACONESS CLINIC INC,163,IN,false,1.0791,1.0705
3375625833,"AURORA ADVANCED HEALTHCARE, INC.",318,WI,false,0.7327,0.7858
3375645179,FAIRVIEW EXPRESS CARE,611,MN,false,1.0913,1.2837
3375701568,NORTH SHORE-LIJ MEDICAL PC,2640,NY,false,0.9177,0.9052
3375909351,"EMERGENCY MEDICINE SERVICES OF TX, PLLC",206,TX,false,0.8675,0.5552
3476446378,FAMILY HEALTH CENTERS OF SAN DIEGO INC,106,CA,false,1.1788,1.1583
3476457532,NEW LEXINGTON CLINIC PSC,163,KY,false,0.9691,0.9849
3476462334,NORTHWEST EMERGENCY PHYSICIANS LLC,179,WA,false,0.749,0.326
3476462359,SAINT ALPHONSUS REGIONAL MEDICAL CENTER INC,270,ID,false,1.0553,1.0055
3476464298,PHOENIX REHABILITATION AND HEALTH SERVICES INC,1007,PA,false,1.0412,1.1439
3476465188,PROHEALTH MEDICAL GROUP INC,175,WI,false,0.9141,0.8176
3476465667,UNIVERSITY PHYSICIANS INCORPORATED,1156,CO,false,0.9133,1.0804
3476559782,"EMORY SPECIALTY ASSOCIATES, LLC",157,GA,false,0.8475,0.6977
3476688318,HOSPITALIST MEDICINE PHYSICIANS OF TEXAS PLLC,401,TX,false,1.1394,0.5135
3476725599,UNIVERSITY OF LOUISVILLE PHYSICIANS INC,537,KY,false,1.0884,1.141
3476855420,SOUTHEASTERN HOSPITALIST SERVICES PC,132,SC,false,1.207,0.578
3476864448,INPATIENT SPECIALISTS OF CALIFORNIA PC,146,CA,false,1.3548,0.7661
3476894445,WHITE PLAINS PHYSICIAN SERVICES PC,219,NY,false,1.0904,0.9504
3476950296,MERCY HEALTH PHYSICIANS YOUNGSTOWN SPECIALTY CARE LLC,184,OH,false,1.065,0.9768
3577467018,ARIA HEALTH PHYSICIAN SERVICES,251,PA,false,1.2947,1.1114
3577467224,MASS GENERAL BRIGHAM MEDICAL GROUP NORTHERN MASSACHUSETTS INC,339,MA,false,0.7764,0.7452
3577470442,PHYSIOTHERAPY ASSOCIATES INC,617,GA,false,1.0466,1.1241
